id_num,page_id,class_name,x_start,y_start,x_stop,y_stop,labeled_by,parent_of,sibling_of,child_of,continuation_of,sequentially_follows,doc_page_num,reference_to_internal,reference_to_external,text,entry_type,label_type,mandatory,desired,optional,recommended,functional,non_functional,aero_mechanism/aero_brake,audio_beacon,camera,cansat/payload/probe,data/kinematics/telemetry,egg/compartment,electrical,ground_station,heat_shield,materials/mechanical,nose_cone,parachute,radio,rocket,sensors,software,Unnamed: 41,cost,schedule,deliverables,personnel/staffing,entries_affected,Notes,pathing
0,2.0,LTTextBoxHorizontal,122.9197065,345.1581455,489.0837625,415.4081165,self,1/2/3/4/5/6/7/13/15/16/26/37/40/48/49/77/114/149/181/206/222/257/278/305/324/335/351/368/388/389/404/406/430/446/473/496/497/514/528/539/561/567/568/579/580/588/589/592/593/594/637/638/667/671/672/678/683/695/696/731,,,,,5.0,,,"Cansat Competition Guide
2024",label,document_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
1,2.0,LTTextBoxHorizontal,113.4767685,230.4081755,498.5258272,300.6581465,self,,,0.0,0.0,,5.0,,,"Planetary Probe Instrument
Delivery Mission",label,document_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
2,2.0,LTTextBoxHorizontal,256.2451095,148.6264945,355.754877,188.3764945,self,,,0.0,1.0,,5.0,,,"Rev 1.0a
Aug 10, 2023",label,document_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
3,2.0,LTTextBoxHorizontal,548.6261595,66.18703153,555.2999876,78.18703153,,,,0.0,,,5.0,,,1,label,page_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
4,9.0,LTTextBoxHorizontal,56.699997,94.93434647,555.2999895,732.5494248,,,,0.0,,,5.0,,,"Table of Contents
1. Introduction.......................................................................................................................................... 5
1.1 Competition Description................................................................................................................ 5
1.2 Team Selection............................................................................................................................... 6
2. Mission Overview................................................................................................................................. 7
3. Requirements........................................................................................................................................8
............................................................................................................................................................13
3.1 Suggestions.................................................................................................................................. 14
3.2 Selectable Bonus Objective......................................................................................................... 14
3.3 Telemetry, Command, and Simulation Requirements..................................................................14
3.3.1 Telemetry.............................................................................................................................14
3.3.1.1 Telemetry Formats..................................................................................................... 14
3.3.1.2 Telemetry Data Files.................................................................................................. 16
3.3.2.3 On-board Telemetry Storage...................................................................................... 16
3.3.2 Commands.......................................................................................................................... 16
3.3.3 Simulation Mode.................................................................................................................18
3.4 Banned Materials and components.............................................................................................. 19
3.5 Environmental Tests.....................................................................................................................20
4. Team Composition..............................................................................................................................23
4.1 Team Size..................................................................................................................................... 23
4.2 Faculty Advisor............................................................................................................................23
5. Deliverable Items................................................................................................................................23
5.1 Preliminary Design Review......................................................................................................... 24
5.2 Critical Design Review................................................................................................................ 24
5.3 Post Flight Review....................................................................................................................... 25
5.4 Deliverable Submissions and Scheduling.................................................................................... 25
5.5 Slide Format Guidelines...............................................................................................................27
5.6 Disqualification Guidelines..........................................................................................................27
6. Launch Weekend............................................................................................................................ 28
6.1 Schedule....................................................................................................................................... 28
............................................................................................................................................................28
6.2 Flight Readiness Review..............................................................................................................28
......................................................................................................................................................28
6.2.1 FRR Sequence of Events.....................................................................................................28
6.3 Team Member Launch Operations Crew Assignments............................................................... 29
6.4 Mission Operations Manual......................................................................................................... 30
6.5 Launch Schedule.......................................................................................................................... 30",toc,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
5,9.0,LTTextBoxHorizontal,548.6261595,66.18703153,555.2999876,78.18703153,,,,0.0,,,5.0,,,2,label,page_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
6,49.0,LTTextBoxHorizontal,56.699997,562.9342265,555.2999895,730.1842235,,,,0.0,4.0,,15.0,,,"6.6 Competition Operations and Sequence of Events........................................................................31
6.7 Second Flight Rules..................................................................................................................... 31
6.8 Weather Delays............................................................................................................................ 32
Appendix A Field Safety Rules............................................................................................................. 33
Appendix B Presentation Recommendations..................................................................................... 34
Appendix C Payload Deployment Description.................................................................................... 35
Appendix D Acronyms...........................................................................................................................37
Appendix E Definitions..........................................................................................................................38
Appendix F – Payload Section............................................................................................................. 4 0
Appendix G - Competition Calendar................................................................................................... 43",toc,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
7,49.0,LTTextBoxHorizontal,548.6261595,66.18703153,555.2999876,78.18703153,,,,0.0,,,15.0,,,3,label,page_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,13.0/0
8,61.0,LTTextBoxHorizontal,87.08085675,703.1841022,111.069138,715.1841022,8,9/11,,13.0,,,15.0,,,Date,label,section_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,8.0/13/0
9,61.0,LTTextBoxHorizontal,74.96366925,682.1841022,123.1863259,694.1841022,,,,8.0,,,15.0,,,6/11/2023,free_text,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,14.0/13/0
10,61.0,LTTextBoxHorizontal,144.450012,682.1841022,202.7683718,694.1841022,,,,14.0,,,15.0,,,Initial guide,free_text,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,8.0/13/0
11,61.0,LTTextBoxHorizontal,74.741013,661.1841022,123.4089817,673.1841022,,,,8.0,,,15.0,,,8/10/2023,free_text,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,14.0/13/0
12,61.0,LTTextBoxHorizontal,144.450012,661.1841022,255.4265749,673.1841022,,,,14.0,,,15.0,,,Fixed requirement M7.,free_text,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
13,61.0,LTTextBoxHorizontal,281.663082,721.1841022,330.3369102,733.1841022,13,8/14,,0.0,,,15.0,,,Revisions,label,section_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,13.0/0
14,61.0,LTTextBoxHorizontal,326.445132,703.1841022,370.4548976,715.1841022,14,10/12,,13.0,,,15.0,,,Changes,label,section_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
15,61.0,LTTextBoxHorizontal,548.6261595,66.18703153,555.2999876,78.18703153,,,,0.0,,,15.0,,,4,label,page_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,0.0
16,64.0,LTTextBoxHorizontal,56.699997,704.5491799,189.5268901,720.5491804,16,17/18/35,,0.0,,,26.0,,,1. Introduction,label,section_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,16.0/0
17,64.0,LTTextBoxHorizontal,56.699997,583.9868315,546.2976531,695.7368365,,,,16.0,,,26.0,,,"The Cansat competition is a design-build-fly competition that provides teams with an
opportunity to experience the design life-cycle of an aerospace system. The Cansat
competition is designed to reflect a typical aerospace program on a small scale and includes
all aspects of an aerospace program from the preliminary design review to post flight review.
The mission and its requirements are designed to reflect various aspects of real world
missions including telemetry, communications, and autonomous operations. Each team is
scored throughout the competition on real-world deliverables such as schedules, design
review presentations, and demonstration flights.",free_text,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,16.0/0
18,64.0,LTTextBoxHorizontal,85.199997,538.7991749,297.6193891,554.7991754,18,19/20/21/22/23/24/25/27/28/29/30/31/32/33/34,,16.0,,,26.0,,,1.1 Competition Description,label,section_level,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,18.0/16/0
19,64.0,LTTextBoxHorizontal,56.699997,475.2368315,548.9753875,529.9868315,,,,18.0,,,26.0,,,"To control the size of the competition, only three teams per school are allowed to apply to the
competition. It is recommended that schools hold internal design competitions to determine
the three teams to apply. If more than three teams from one school apply, the first three
applications received will be accepted.",free_text,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,True,,,18.0/16/0
20,64.0,LTTextBoxHorizontal,56.699997,446.7368315,234.1218737,458.7368315,,,,18.0,,,26.0,,,The competition is in five phases.,free_text,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,18.0/16/0
21,64.0,LTTextBoxHorizontal,56.699997,375.4868315,550.3523385,430.2368315,,,,18.0,,,26.0,,,"Phase one is the application phase. Teams must submit an application and a $200
competition fee that is non-refundable. The fee is used to offset the cost of rocket motors and
other materials. Applications must be submitted by November 3, 2023. Payments will be
requested in early November and must be paid by the given due date that will be announced.",free_text,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,True,True,False,False,,,18.0/16/0
22,64.0,LTTextBoxHorizontal,56.699997,261.4868315,549.6199169,358.9868315,,,,18.0,,,26.0,,,"Phase two is the preliminary design. Teams are to develop designs, prototype, test concepts
and generate a preliminary design review (PDR) slide package using the provided template.
Teams will submit PDR slides by the designated due date in section 5.4. Slides will only be
accepted in PDF format. Teams that do not meet the due date or do not submit in the proper
PDF format will be dropped from the competition. A schedule will be made available on when
to present a subset of the slides. Teams will have a half hour to discuss a subset of the PDR
slides via telecon.",free_text,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,,,18.0/16/0
23,64.0,LTTextBoxHorizontal,56.699997,232.9868315,412.2117155,244.9868315,,,,18.0,,,26.0,,,"After the PDR, a total of 40 teams will be invited to the competition.",free_text,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,18.0/16/0
